,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
156,Ilulissat,69.22,-51.1,282.15,70,47,3.1,GL,1594570300
157,Severo-Kuril'sk,50.68,156.12,282.96,92,100,4.4,RU,1594570300
158,Geraldton,-28.77,114.6,285.15,66,0,6.2,AU,1594570300
159,Leningradskiy,69.38,178.42,276.67,80,0,3.75,RU,1594570300
160,Moose Factory,51.26,-80.61,284.15,93,90,3.1,CA,1594570300
161,Port Elizabeth,-33.92,25.57,291.15,36,0,5.7,ZA,1594570300
162,Assiut,27.18,31.18,312.15,27,0,5.7,EG,1594570301
163,Secunda,-26.55,29.17,283.71,41,0,0.45,ZA,1594570301
164,Alyangula,-13.85,136.42,295.15,56,94,1.5,AU,1594570301
165,Nome,64.5,-165.41,286.15,71,1,3.6,US,1594570301
166,Berbera,10.44,45.01,308.28,42,53,4.79,SO,1594570301
167,East London,-33.02,27.91,290.0,52,0,10.19,ZA,1594570301
168,Eureka,40.8,-124.16,289.26,100,0,1.78,US,1594570079
169,Mumford,5.26,-0.76,297.98,83,51,5.92,GH,1594570302
170,Dali,25.7,100.18,291.47,87,100,2.12,CN,1594570225
171,Urmary,55.68,47.94,300.15,34,0,2.0,RU,1594570302
172,Atar,20.52,-13.05,312.41,23,65,1.06,MR,1594570302
173,Najrān,17.49,44.13,311.15,10,75,5.1,SA,1594570253
174,Port Victoria,0.09,33.98,296.02,63,59,0.83,KE,1594570302
175,George Town,5.41,100.34,302.15,79,20,1.5,MY,1594570302
176,Bredasdorp,-34.53,20.04,291.15,42,0,3.1,ZA,1594570302
177,Dicabisagan,17.08,122.42,299.7,83,100,1.23,PH,1594570303
178,Souillac,-20.52,57.52,295.15,73,75,7.7,MU,1594570303
179,Jiuquan,39.74,98.52,298.09,22,83,3.82,CN,1594570303
180,Kahului,20.89,-156.47,298.15,65,1,6.7,US,1594570243
181,Straumen,63.87,11.3,286.15,71,75,8.7,NO,1594570303
182,Bousso,10.48,16.71,303.3,61,39,3.12,TD,1594570303
183,Borivka,50.46,29.55,294.82,68,20,8.0,UA,1594570303
184,Ponta do Sol,32.67,-17.1,298.15,66,0,1.04,PT,1594570304
185,Asău,46.43,26.4,286.48,86,100,2.8,RO,1594570304
186,Matara,5.95,80.54,299.74,85,91,3.89,LK,1594570304
187,Juegang,32.32,121.19,299.1,91,100,3.82,CN,1594570304
188,Gijón,43.54,-5.66,295.93,76,2,3.58,ES,1594570304
189,Mount Gambier,-37.83,140.77,279.15,93,90,2.1,AU,1594570305
190,Kyshtovka,56.55,76.63,289.56,69,1,3.37,RU,1594570305
191,Mayahi,13.96,7.67,307.26,37,73,4.32,NE,1594570305
192,Touros,-5.2,-35.46,301.15,61,40,5.7,BR,1594570305
193,Orchard Homes,46.86,-114.05,295.15,35,90,5.7,US,1594570305
194,Nova Olímpia,-14.8,-57.29,308.33,26,66,2.58,BR,1594570306
195,Saint George,37.1,-113.58,305.37,21,1,2.1,US,1594570292
196,San Rafael,-34.62,-68.33,279.29,64,100,1.27,AR,1594570306
197,Puerto Ayacucho,5.66,-67.62,300.15,83,75,1.28,VE,1594570306
198,Sittwe,20.15,92.9,301.1,85,100,4.32,MM,1594570306
199,Alcalá la Real,37.46,-3.92,311.15,17,20,2.6,ES,1594570306
200,Hithadhoo,-0.6,73.08,302.6,71,92,3.75,MV,1594570306
201,Bubaque,11.28,-15.83,298.1,91,100,10.44,GW,1594570306
202,Bereket,39.24,55.52,303.48,38,100,5.87,TM,1594570306
203,Yangi Marg`ilon,40.43,71.72,301.15,37,100,3.1,UZ,1594570307
204,Sydney,-33.87,151.21,284.26,93,75,4.1,AU,1594569821
205,Berlevåg,70.86,29.09,284.15,81,75,2.1,NO,1594570307
206,Tuatapere,-46.13,167.68,277.04,83,80,1.34,NZ,1594570307
207,Pringsewu,-5.36,104.97,296.22,90,70,0.25,ID,1594570307
208,Alenquer,-1.94,-54.74,304.15,66,40,6.2,BR,1594570307
209,‘Āhuimanu,21.44,-157.84,298.15,69,20,4.1,US,1594570307
210,Bitlis Province,38.5,42.25,294.4,42,44,1.56,TR,1594570307
211,Brae,60.4,-1.35,285.15,87,75,5.1,GB,1594570308
212,Krasnosel'kup,65.7,82.47,287.12,69,92,2.63,RU,1594570308
213,Alekseyevsk,57.84,108.35,289.71,80,83,0.6,RU,1594570308
214,Hat Yai,7.01,100.48,299.15,100,40,1.0,TH,1594570308
215,Senno,59.53,33.92,289.33,85,100,1.68,RU,1594570308
216,Nyzhnya Duvanka,49.58,38.17,300.83,63,20,4.6,UA,1594570309
217,Tateyama,34.98,139.87,294.26,91,100,7.52,JP,1594570309
218,Santa Inês,-3.67,-45.38,303.72,54,8,2.43,BR,1594570309
219,Naryan-Mar,67.67,53.09,284.34,91,100,8.96,RU,1594570309
220,Petrovskoye,57.01,39.27,291.18,81,75,4.13,RU,1594570309
221,Province of Trapani,37.83,12.67,303.15,62,0,7.7,IT,1594570309
222,Felipe Carrillo Puerto,19.58,-88.05,306.93,46,1,1.65,MX,1594570310
223,San Quintín,30.48,-115.95,297.55,61,0,3.35,MX,1594570310
224,Bengkulu,-3.8,102.27,297.86,90,99,1.68,ID,1594570310
225,Kysyl-Syr,63.9,122.76,291.17,58,22,1.13,RU,1594570310
226,Tigil',57.8,158.67,285.76,88,100,1.6,RU,1594570310
227,Hong Kong,22.29,114.16,303.15,74,27,2.24,HK,1594570288
228,Bol,13.46,14.71,299.02,75,9,5.0,TD,1594570310
229,Kumul,42.8,93.45,300.82,30,14,4.02,CN,1594570310
230,São Filipe,14.9,-24.5,297.1,76,24,4.15,CV,1594570310
231,Yumen,40.28,97.2,299.38,23,79,2.27,CN,1594570310
232,Koutsouras,35.03,25.95,303.15,40,0,5.81,GR,1594570311
233,Saskylakh,71.92,114.08,289.52,72,60,8.77,RU,1594570311
234,Makkah al Mukarramah,21.43,39.83,306.87,24,71,3.76,SA,1594570036
235,Ostrovnoy,68.05,39.51,284.39,82,87,5.74,RU,1594570311
236,Bima,-8.47,118.72,296.16,86,50,1.76,ID,1594570311
237,Presidencia Roque Sáenz Peña,-26.79,-60.44,295.3,58,0,2.54,AR,1594570311
238,Broome,42.25,-75.83,299.82,61,20,4.6,US,1594570311
239,Champerico,14.3,-91.92,303.15,66,0,3.1,GT,1594570311
240,Esim,4.87,-2.24,298.87,76,62,4.37,GH,1594570312
241,Nanortalik,60.14,-45.24,282.32,76,99,5.77,GL,1594570312
242,Grindavik,63.84,-22.43,283.15,100,75,3.6,IS,1594570304
243,Santa Fe,-31.63,-60.7,289.26,36,38,2.24,AR,1594570312
244,Vardø,70.37,31.11,282.15,81,75,7.2,NO,1594570312
245,Jaisalmer,26.91,70.92,308.25,45,4,9.38,IN,1594570312
246,Korhogo,9.45,-5.63,301.12,68,62,2.08,CI,1594570312
247,Channagiri,14.03,75.93,296.69,79,100,5.93,IN,1594570312
